Algorithm,N: 100,N: 200,N: 300,N: 400,N: 500,N: 600,N: 700,N: 800,N: 900,N: 1000,N: 1100,N: 1200,N: 1300,N: 1400,N: 1500,N: 1600,N: 1700,N: 1800,N: 1900,N: 2000,N: 2100,N: 2200,N: 2300,N: 2400,N: 2500,N: 2600,N: 2700,N: 2800,N: 2900,N: 3000,N: 3100,N: 3200,N: 3300,N: 3400,N: 3500,N: 3600,N: 3700,N: 3800,N: 3900,N: 4000,N: 4100,N: 4200,N: 4300,N: 4400,N: 4500,N: 4600,N: 4700,N: 4800,N: 4900,N: 5000,N: 5100,N: 5200,N: 5300,N: 5400,N: 5500,N: 5600,N: 5700,N: 5800,N: 5900,N: 6000,N: 6100,N: 6200,N: 6300,N: 6400,N: 6500,N: 6600,N: 6700,N: 6800,N: 6900,N: 7000,N: 7100,N: 7200,N: 7300,N: 7400,N: 7500,N: 7600,N: 7700,N: 7800,N: 7900,N: 8000,N: 8100,N: 8200,N: 8300,N: 8400,N: 8500,N: 8600,N: 8700,N: 8800,N: 8900,N: 9000,N: 9100,N: 9200,N: 9300,N: 9400,N: 9500,N: 9600,N: 9700,N: 9800,N: 9900,N: 10000
Mean RandomSelect Swaps,162.72,340.73,488.68,658.92,862.42,1017.69,1187.37,1413.04,1484.74,1709.93,1836.91,2091.12,2215.32,2357.12,2453.66,2827.19,2978.01,2892.85,3122.27,3536.08,3460.14,3667.33,4044.48,4250.59,4192.55,4294.55,4557.09,4763.53,4805.62,4937.58,4797.88,5639.8,5408.55,5467.48,5428.17,5649.41,6060.19,5964.68,6779.44,6812.29,6556.52,7307.39,7346.87,7676.74,8033.29,7164.03,7862.95,7690.65,8312.3,8396.4,8485.95,8744.19,9037.86,9298.28,9369.59,9281.19,10140.86,10571.8,9836.44,9722.95,10107.64,10326.61,9850.77,10736.01,11027.48,11898.19,10983.05,11915.78,11761.52,11734.18,11441.04,11740.83,12682.05,11390.65,11914.51,13152.54,13065.73,12798.28,13255.68,12872.39,13932.58,14028.26,13939.43,14750.43,13493.51,14054.35,13992.93,14513.81,13881.12,14257.71,14524.22,15423.51,15662.06,14647.06,14761.59,16455.89,16938.96,16960.19,17523.76,16840.61
Mean Select3 Swaps,931.36,2068.58,3181.46,4449.12,5879.37,6852.99,8526.88,9757.94,10952.1,12080.66,13620.72,15154.5,16527.86,17708.83,18802.48,20333.03,21253.99,22768.41,24579.87,25742.29,27553.99,28953.32,29418.33,31595.32,33248.22,34572.53,35743.52,37379.24,38839.56,39720.63,41913.41,43328.8,44584.18,45905.54,47744.65,48286.05,49895.04,52113.14,53165.8,53816.97,56217.38,58089.99,59572.39,60580.86,62215.58,63428.5,63094.53,66158.89,68163.12,69728.46,70546.59,72147.84,74241.77,74612.73,75323.0,78677.29,79685.54,80578.88,81522.08,83756.92,85776.73,85917.73,88598.02,88861.25,91767.75,91883.46,93853.43,96042.78,97081.69,98372.89,100493.87,101515.16,103578.08,104405.41,105173.37,108026.98,108719.5,108755.88,112696.18,111884.31,115864.96,116790.36,118099.84,118395.33,120507.64,123348.06,123465.2,124903.05,127515.93,128562.8,129417.07,129063.33,133791.3,133982.3,136882.5,137377.81,139915.4,140417.36,140791.6,143570.05
Mean Select5 Swaps,800.01,1676.17,2674.72,3627.74,4702.74,5703.44,6724.66,7607.04,8715.19,9665.96,10916.56,11748.48,12924.05,14001.7,15146.41,16049.53,17024.08,17934.04,18776.69,20226.53,21008.52,22000.33,23609.41,24135.3,25801.57,26974.86,27551.87,28922.26,29825.59,30721.77,32281.55,33088.41,33966.48,35423.47,36592.41,37387.31,38408.3,39398.52,40082.87,41654.92,42607.5,44306.04,43840.49,46241.08,47087.21,47926.37,48663.4,50090.05,50927.01,51700.05,53287.84,55068.08,55982.49,56259.3,57487.14,58887.89,60079.65,61452.74,62452.97,62722.94,64104.01,65045.98,66906.7,66893.07,68877.67,69276.72,70901.69,72364.92,73019.24,74936.81,75571.06,75471.14,77413.44,78322.52,79921.45,80820.9,81465.09,83327.49,83663.55,84750.24,85832.6,87269.81,88987.12,89665.3,90174.75,92464.88,93339.76,93017.12,95526.94,95838.87,97287.7,96684.95,99303.34,100749.79,101084.69,102606.88,103773.42,104180.73,106026.19,107838.48
Mean Select7 Swaps,786.82,1754.19,2651.66,3677.62,4648.83,5573.79,6635.84,7711.87,8578.45,9623.78,10838.31,11712.81,12778.47,13898.97,14870.16,15719.08,16761.67,17827.33,18975.9,19584.15,20875.89,21765.21,22774.97,24428.01,25368.28,26197.78,27607.0,28270.43,29260.07,30594.63,31425.71,32563.16,33309.83,34884.05,35060.56,36518.88,37900.37,38850.18,40342.59,40812.71,41909.38,42916.72,44295.45,44767.48,46619.62,46712.05,48037.28,49385.8,50416.4,51350.16,53072.3,53606.41,54857.23,55727.81,57104.12,58167.72,59266.43,59966.06,60742.6,61799.69,62540.07,64198.12,65558.53,66371.43,67084.72,68681.07,69160.24,70349.29,71500.94,72773.75,73401.32,74503.07,75009.5,77353.66,78061.03,79077.31,79722.37,81501.35,82099.77,83502.4,83829.53,85479.81,86276.7,87444.92,88434.16,87631.66,90804.05,92459.12,92866.48,94252.38,95113.84,95981.07,96440.41,98446.77,99441.83,100069.85,100700.28,102476.72,103518.4,104319.07
Mean Select9 Swaps,820.51,1832.56,2852.04,3890.41,4878.95,5895.73,6972.09,7983.43,9178.5,10166.21,11177.28,12264.96,13237.88,14310.35,15438.32,16640.15,17459.89,18745.41,19821.44,20985.93,21735.02,22547.36,24107.66,25248.53,26264.95,27159.91,28269.8,29486.47,30469.82,31524.94,32682.9,33676.25,34892.67,35714.29,37255.96,38063.95,39355.37,40185.38,40989.86,41942.02,43870.93,44800.98,45446.68,47094.21,48256.48,48719.78,50492.52,50956.83,52062.41,53588.34,54686.95,55569.07,56766.67,57726.22,58798.4,59293.6,61215.3,61835.94,62894.51,63453.21,65513.85,67128.42,66539.2,68864.24,69803.95,70562.87,72071.11,72630.13,73695.21,75445.79,76418.76,77809.89,78861.47,79281.18,80608.09,82225.94,82626.48,84280.95,85133.56,85923.33,87184.46,88681.37,89353.19,89834.6,91831.53,92351.93,92241.64,95300.0,95985.23,97136.78,98823.73,99986.86,99355.54,100939.81,102309.98,103768.72,105259.29,104667.95,107102.24,108074.89
Mean RandomSelect Comparisons,311.63,659.18,959.95,1315.8,1627.17,2100.77,2345.49,2740.26,2981.03,3359.14,3731.89,4044.9,4375.95,4692.98,5113.19,5575.02,5951.64,5943.16,6509.95,7252.14,7231.99,7383.63,7837.36,7856.03,8347.3,8674.56,8665.12,9645.52,9577.71,9650.05,9909.93,11263.49,11342.6,11220.57,10973.35,11551.56,12402.46,12559.42,13373.6,13909.47,13322.73,14378.66,14419.73,15386.73,15457.59,14885.5,15789.04,16143.91,16408.23,16343.54,16987.75,17507.59,18222.78,18565.27,18418.26,18826.65,19777.43,20732.85,19965.29,20641.56,20197.23,21110.66,20293.08,21929.86,22183.1,23801.35,22327.02,23360.05,23029.64,23800.26,23719.01,23923.14,24789.09,24093.18,23735.62,26184.94,26340.93,25707.26,26203.96,25945.94,27268.0,28431.19,28529.62,28237.64,27991.23,28335.88,28821.35,29082.74,27685.03,29461.03,29708.94,31308.73,31537.6,29799.98,31063.08,33004.2,33350.76,32727.18,34132.68,33381.09
Mean Select3 Comparisons,1184.67,2674.98,4125.63,5829.31,7626.97,8910.57,11084.12,12697.98,14304.68,15755.9,17781.02,19770.77,21598.92,23108.67,24634.1,26501.46,27714.93,29685.62,32210.11,33723.49,35997.35,37876.2,38574.26,41223.14,43549.79,45344.07,46719.5,48733.41,50708.52,51915.86,54815.42,56845.25,58264.39,60149.66,62545.19,63401.47,65393.51,68255.96,69547.44,70484.08,73735.62,76295.56,78272.03,79005.87,81650.31,82903.21,82825.88,86657.19,89550.47,90996.53,92547.95,94521.48,97462.59,97621.0,98686.54,103022.6,104595.09,105623.2,106769.6,109755.45,112627.7,112546.04,116420.25,116225.34,120164.09,120001.79,122999.04,125972.74,127047.59,129089.93,131937.7,133158.78,136200.45,136800.2,137987.5,141455.48,143138.62,142784.62,147805.02,147372.62,152241.69,153460.06,154852.92,155673.56,157919.73,161168.69,161353.4,163582.66,167453.28,168349.05,169904.95,169637.86,175841.52,176216.28,179824.1,180985.34,183196.72,183959.88,184742.06,188686.06
Mean Select5 Comparisons,1011.2,2121.82,3381.2,4597.96,5979.37,7248.73,8590.08,9658.28,11083.19,12281.97,13862.21,14846.57,16442.52,17719.27,19262.96,20450.3,21592.95,22856.5,23900.78,25747.16,26686.04,27934.27,30066.13,30700.93,32765.64,34282.62,34960.28,36782.96,37935.55,39229.79,41097.68,42068.37,43148.61,45027.76,46504.28,47612.76,48797.5,50052.33,51282.4,52874.12,54001.93,56363.43,55701.93,59188.29,59874.49,60678.65,61899.23,63529.45,64856.52,65626.31,67756.92,70151.7,71190.32,71732.49,73115.24,74572.78,76298.62,78028.01,79429.73,79926.59,81391.6,82776.59,84919.94,85003.73,87447.46,88057.51,90552.73,91974.25,92884.15,95356.88,95861.21,96132.98,98322.44,99958.13,101298.74,102936.36,103822.17,106162.09,106851.47,107982.25,109621.67,111118.79,113334.58,114265.73,114661.89,117580.78,118734.69,117316.43,121759.42,122313.74,123947.17,123916.74,126094.25,127874.36,128960.93,130777.83,132331.23,132761.53,134790.88,136875.95
Mean Select7 Comparisons,968.46,2174.08,3277.85,4571.69,5762.89,6901.21,8237.43,9551.73,10603.57,11943.71,13425.89,14527.9,15833.97,17256.35,18536.02,19503.41,20886.27,22084.4,23533.74,24333.92,25898.23,26948.16,28173.81,30274.84,31389.49,32528.08,34152.28,35032.79,36219.49,37861.14,38786.74,40542.9,41442.87,43402.8,43467.02,45346.32,47093.27,48290.99,50094.78,50759.45,51884.86,53167.37,55151.61,55538.47,57656.92,58042.64,59792.22,61242.92,62199.54,63894.63,65618.03,66720.61,67747.42,69179.81,70861.56,72434.97,73541.17,74563.08,75356.8,76449.52,77451.05,79473.16,81502.05,82510.64,83387.13,85317.2,85865.36,87345.52,89287.42,90352.7,91415.98,92353.93,93507.95,96024.86,96936.76,98279.9,99247.89,101038.34,101771.75,103892.91,103787.91,106219.94,107124.14,108739.26,110011.69,108928.23,111983.84,114931.65,115643.17,116777.35,117794.52,119136.85,119793.23,122247.56,123265.45,123709.23,125216.08,127413.58,128414.11,129641.3
Mean Select9 Comparisons,997.71,2228.83,3477.44,4756.18,5926.87,7146.34,8507.09,9736.14,11117.18,12347.35,13646.34,14865.01,16039.7,17365.92,18766.39,20245.39,21245.89,22749.88,24141.28,25536.57,26294.93,27360.48,29493.4,30533.46,31962.9,33048.39,34161.94,35815.16,37170.93,38325.41,39772.19,41142.58,42459.1,43382.06,45145.8,46151.13,47752.67,48965.72,49629.58,50968.81,53109.41,54487.38,55124.74,57308.97,58782.0,59068.06,61373.75,61959.33,63103.03,64986.01,66663.42,67480.47,68914.05,70351.7,71645.1,71927.25,74506.36,75352.05,76553.9,77237.21,79132.08,81889.14,81065.92,83586.84,84925.02,85778.3,87757.52,88440.2,89769.39,91522.76,92511.34,94522.31,95800.84,96498.85,98331.99,99633.84,100226.29,102364.79,103319.91,104488.77,105873.16,107922.52,108311.85,108881.39,111599.96,112386.42,112494.94,115216.74,116628.2,117988.98,119792.67,121829.54,121140.67,122931.23,123847.88,126266.53,127733.74,127439.51,130445.77,132235.81
Mean Select3 Time,629118.0,798278.0,982242.0,1205884.0,2660712.0,1763732.0,1974305.9,2220829.0,2155396.0,2328077.0,2584151.0,2762075.0,4102728.0,3378239.0,3466653.0,3845996.2,4618849.0,4398635.0,3983786.0,5012886.0,4253074.0,4447588.0,4499427.0,4973076.0,6980945.5,6030402.0,6478425.0,5669221.0,8479007.0,6892275.0,7467882.0,6579877.0,7196800.0,9103842.0,8334279.0,7593531.0,7939045.0,9206264.0,8172961.5,7643516.0,7633766.0,1.0052413E7,9865850.0,8028278.0,9705409.0,1.0609033E7,1.0617283E7,8883697.0,1.1901343E7,1.0714737E7,1.2204092E7,1.105646E7,1.1715805E7,9342445.0,1.0378758E7,1.1538775E7,1.1177277E7,1.0152133E7,9857636.0,1.0140824E7,1.1128227E7,1.0228294E7,1.1637708E7,1.1318359E7,1.0857627E7,1.0803185E7,1.1046975E7,1.1508019E7,1.0842152E7,1.3671854E7,1.2807418E7,1.3003814E7,1.5615192E7,1.367591E7,1.2856237E7,1.4285041E7,1.4558458E7,1.5272024E7,1.6630589E7,1.2137484E7,1.2386807E7,1.4658467E7,1.4152908E7,1.4437673E7,1.4858584E7,1.3012605E7,1.3804753E7,1.3976934E7,1.4727201E7,1.4105638E7,1.4938982E7,1.3957228E7,1.6867464E7,1.5351572E7,1.5639837E7,1.6870544E7,1.6237341E7,1.5583474E7,1.6456984E7,1.7782586E7
Mean Select5 Time,172236.0,288720.0,350629.0,448692.0,496656.0,665856.0,741440.0,947044.0,851850.0,873263.06,902126.0,982587.06,996647.06,1442288.0,1219026.0,1461617.9,1514200.0,2375772.0,1277324.0,1367876.0,2467694.0,1639691.0,1621653.0,1570127.0,1505524.0,1688985.9,1682721.0,1670520.0,2930396.2,2886869.0,1982193.9,1948508.0,1980996.0,2058825.9,3227465.0,3158328.0,4342237.0,3353421.0,2113169.0,2197254.0,2147778.0,2392266.0,2211011.0,2460163.0,3661297.0,2513400.0,2454604.0,2695622.0,3033615.0,3678610.0,2489301.0,2673677.0,2759427.8,2504817.0,3712310.0,3918926.0,3967888.0,3002899.0,3062619.0,2950415.0,2765522.0,2881392.0,4337581.0,3970824.0,3184227.8,2911361.0,3161955.0,4264231.0,3311666.0,5507756.0,4362957.0,3267800.0,3406510.0,3307209.0,3378281.0,5320255.0,3396801.0,4919263.0,3627769.0,3370142.0,3523047.0,4698680.0,4136706.0,3797261.0,3869040.0,3995247.0,3988233.0,4953880.0,4241703.0,4171278.0,4337594.0,3851283.8,4317704.0,5006582.0,3886691.8,4254734.0,4288253.0,4612287.0,4086010.0,4494847.0
Mean Select7 Time,146342.0,243499.0,295560.0,294352.0,393066.0,398963.0,416430.0,1476823.0,479250.0,526143.0,699176.0,668099.0,756583.06,704950.0,719792.94,708718.0,752956.94,819627.06,898466.0,1989359.0,935030.0,905164.0,1093888.0,1256996.0,2137384.0,1158941.0,1324313.0,1113233.0,1027296.0,1269107.0,1172121.0,1421875.0,1337212.0,1472151.0,1446361.0,1312614.0,1495052.0,1390691.0,1426408.0,1467808.0,1382872.0,1520407.0,1600401.9,1584727.0,1560931.0,1609683.0,1609808.0,1704361.9,1635271.0,1709869.0,1714974.1,1728623.0,1676415.0,2700297.0,1859590.1,1708145.9,1700581.0,1722375.0,1780797.0,1743561.9,1903693.0,1884302.1,1987653.0,2197506.0,3296654.0,2129867.0,1896062.1,1885056.0,1946412.0,2079710.1,2000225.9,2250233.0,2110003.0,2121075.0,2275302.0,2144710.0,3501235.8,2772442.0,3617328.0,2523625.0,2468653.0,2280817.0,2209641.0,3385261.0,2421322.0,2326025.0,2400139.0,2507036.0,2756338.0,4676295.0,2525630.0,2654810.0,3495592.0,2485400.0,2709011.8,3899701.0,2571541.0,2381670.0,2422743.0,2466531.0
Mean Select9 Time,95139.0,178180.0,264587.0,315755.0,271368.0,302818.0,336064.0,373683.0,383673.0,429321.0,463351.0,1327140.0,536742.0,575560.0,675596.94,644786.0,631616.0,659442.0,635598.0,699508.0,719602.0,735240.94,844472.0,1757784.0,779934.0,839547.06,900698.0,833923.06,811552.0,849155.06,892280.0,937383.06,998791.06,964610.0,2195700.0,1025304.0,1036010.0,2696043.0,1047086.0,1024967.06,1009306.0,1072440.0,1065063.0,1110491.0,1199870.0,1218884.0,1164939.0,1218164.0,1231797.0,1302016.0,1213932.0,1252924.0,2366446.0,1401024.0,1372655.0,1379787.0,1334715.0,2376079.0,1479374.1,2501640.0,1480519.0,1504582.1,2733411.8,2635665.0,1420281.0,1529551.0,1520364.0,1507278.1,1681276.0,1780479.0,1746757.0,1564960.0,1885020.0,1726825.0,1769144.0,1868817.9,1636333.0,1874302.1,2818833.0,1742814.1,1634383.0,1645188.0,1730980.0,1640697.0,1749029.0,1839903.0,1687772.0,1689759.0,1690545.9,1748848.0,1965455.0,1893581.0,1731861.0,1811206.1,1831605.0,2092289.9,1911696.0,1891473.9,2914531.8,1974537.0
Mean RandomSelect Swaps / N,1.6272,1.70365,1.6289333,1.6473,1.7248399,1.69615,1.6962428,1.7663001,1.6497111,1.7099301
Mean Select3 Swaps / N,9.3136,10.3429,10.604867,11.1228,11.75874,11.42165,12.181257,12.197426,12.169,12.08066
Mean Select5 Swaps / N,8.0001,8.38085,8.915733,9.06935,9.40548,9.5057335,9.606657,9.5088005,9.683545,9.66596
Mean Select7 Swaps / N,7.8682003,8.770949,8.838866,9.19405,9.29766,9.28965,9.479772,9.639837,9.531611,9.62378
Mean Select9 Swaps / N,8.2051,9.1628,9.5068,9.726025,9.7579,9.826217,9.960129,9.979288,10.198334,10.16621
Mean RandomSelect Comparisons / N,3.1163,3.2958999,3.1998334,3.2895002,3.2543402,3.5012834,3.3507,3.425325,3.3122556,3.35914
Mean Select3 Comparisons / N,11.846701,13.3749,13.7521,14.573276,15.253941,14.85095,15.834457,15.872476,15.894089,15.7559
Mean Select5 Comparisons / N,10.112,10.6091,11.270666,11.4949,11.95874,12.081217,12.271543,12.07285,12.314656,12.28197
Mean Select7 Comparisons / N,9.6846,10.8704,10.926167,11.429225,11.525781,11.502017,11.767756,11.939663,11.781745,11.94371
Mean Select9 Comparisons / N,9.9771,11.144151,11.591467,11.8904505,11.853741,11.910566,12.152986,12.170175,12.352422,12.347349
